,itemid,name,overallRating,reviewText,submissionTime,title,upVotes,downVotes,reviewer
12,15162430,"Igloo 4.5 cu. ft. Refrigerator and Freezer, Black, FR464",4,"I've had this for a couple months now.
So far, I really like it. It looks great.
We did site-to-store, and it wasn't banged up when we got ours.
It was very dirty on the inside though. I don't think it was use dirt, more like warehouse storage dirt, IMHO.

You can put a lot of drinks/food in this one.
Note that the photo WM is currently using for this item is NOT NOT NOT the actual inside of this fridge. The inside photos are mixed up between this model and the Haier 4.6 model! (I listed that model as a recommended link). I bought this one, because I wanted the freezer that went across the entire top. The Igloo model is only a HALF of a freezer. You can put a couple ice cube trays and some freezer pops, but that's about it. It is also a MANUAL defrost.

Be sure to let it sit unplugged for at least 4 hrs before using to let the oils and gases settle back into the right places. Also, we let ours run cold overnight BEFORE we put any food in to the box. You will want a good chill on the inside before adding room temp foods.

The dial goes from 1 to 7, and we've found we pretty much need it on the 7 to get drinks chilly.
The door storage is fantastic, and it easily holds a lot of things. The shelves are adjustable somewhat (not lots of options, but you can move the top one down). They are very nice shelves - very sturdy. Note that the bottom area does not have a slide out tray, and is only about half of the depth of the other shelves. What we did was make this our water bottle storage area, and they fit there just right. So, use that as a gauge - a 16.0 oz water bottle fits on its side just right on the very bottom.

The noise level is completely do-able. I was afraid it would be very loud, but it isn't. You do hear it kick on and off though, but it is right next to the bed and you don't have to turn up the tv to hear over it.

My only real complaint (other than the wrong photo of the insides, which is very misleading), is that this item is very much affected by the temperature of the room you have it in. In other words, if you use this in a basement, you'll definitely have really cold drinks/food. If it is in a hot garage - not nearly as much. We had a bad heat wave here a week ago, and it struggled to keep things cool inside, with a very noticeable dip in inside temperature.

Would I buy another one? Probably not, because I wanted the bigger freezer. But, I've spent the money now, and it does what I originally wanted - it allows me to keep some drinks and cold foods upstairs for when everyone else is gone (I am partially disabled, so can't run to the downstairs kitchen when I want something). All in all, very glad that I have it now. I think Igloo should have had this down a little better after all these years in the business of keeping food and drinks cold, but it wasn't horrible. It holds everything I need it to, even if not as cold as I'd really like it to be.",2011-06-14T17:03:49,"Works great, but depends on the room temperature",88,17,KatyKatIL
13,15162430,"Igloo 4.5 cu. ft. Refrigerator and Freezer, Black, FR464",5,"I was a bit weary when looking at this mini fridge, because of the fact that a lot of cheap fridges die after a few weeks... But this one has been wonderful. and I personally couldn't have found a more suitable fridge to contain my goodies. I bought it on 3/18 and it is still working just as great as the day I picked it up, the value is worth purchasing this product alone! I have to say though that the picture is a little mis-leading as the freezer in this model is actually smaller and more compact than the picture portrays (I can fit maybe a couple TV dinners in the freezer section at best). I have changed the set-up of my room & moved recently and can say that it seems very durable as the fridge was in the back of my F250 with not as much as a scratch on it. The appearance is very nice, however the only true complaint I have is the fact that you cannot fit anything in the door except a small thin bottle, butter box, etc... Which is kind of a bummer as the last fridge I had could fit anything, I hope my review helps you out with any questions you might have!",2011-06-09T08:59:13,"Very Good Mini-Fridge, Great Price!",155,57,IsraeliteRian84
14,15162430,"Igloo 4.5 cu. ft. Refrigerator and Freezer, Black, FR464",1,"I give this review 1 star. I have to say that I was not only displeased with the purchase but embarrassed as well. I bought this mini fridge as present for a house warming party and let me tell you, it looked like I found this thing in an alley!

The box was all weathered and beaten up badly. I was worried that it would be damaged due to the box it came in. Since it was a gift, I couldn't open it and see.

Once the embarrassing box was opened, the was a dent on the door and two on the sides. The hinge for the door was bent the wrong way and the top of the door was completely scratched up. The little piece of plastic that was supposed to cover the metallic hinge was broken as well.

Then, as i went to plug it in, I noticed the white plastic cover that covers up some wiring was cracked and broken off as well.

I was so embarrassed when I gave this hunk of junk as a gift. I will never order anything from walmart and have it shipped ever again!

I wish i could add more photos but only 2 are allowed.",2013-05-17T05:53:11,17 May 2013,73,20,CTG23
15,15162474,"Igloo 3.2 cu. ft. 2-Door Refrigerator and Freezer, Stainless Steel",4,"When I started college my mom bought an old refrigerator from a friend. It still works, but I purchased this one because too much ice was building up in it. When I got it, I didn't like that the appearance wasn't matted, but I dealt with it because I didn't want to send it back (it almost looks mirrored). So far, I think this refrigerator is decent. It gets really cold. I find myself using it on either 3 or 4. The description says that you can't store food in the freezer for extended periods of time (past a week), but I have and have had no problems with the quality of the food. The spaces between the shelves are smaller than they appear to be, so for the moment, I have taken the top shelf out to store milk and other larger items. The door shelf in the freezer it not really wide enough to hold a lot. I have seen some small amounts of ice in the top and bottom of it, but it may be because of the temperature it was set on at first. I had seen products like this in stores before, but they were either in the box or taped closed, so I complaints may just be because I had no real idea of what to expect from a two door compact refrigerator. Other than that, I think it is a pretty good product. Of course with anything stainless there are going to issues with fingerprints, but nothing major. Hope this helps!",2011-03-27T10:24:17,Replacement Refrigerator,311,36,SugarPlumBaby88
16,15162474,"Igloo 3.2 cu. ft. 2-Door Refrigerator and Freezer, Stainless Steel",5,"I have had a refrigerator located in my bedroom for about 40 years. To date the Igloo is the best looking and best acting one I have owned. I keep medications, and liquid, and many other snacks in it for night, and reactions to diabetic insulin care. It is right next to my bed, and very convenient for me to reach in and grab something. The upper freezer section is also very helpful for other mediations and snack items, Very quiet, and doesn't run to often at all. I would suggest the IGLOO to anyone looking for a smart looking, and very useful appliance!",2011-08-19T14:29:41,19 August 2011,216,26,detfitch
17,15162474,"Igloo 3.2 cu. ft. 2-Door Refrigerator and Freezer, Stainless Steel",4,"Good unit, but I had to travel through the twilight zone to find actual product information! This product is not made by Igloo at all, they have no info on this product or record of it. Digging around, this is a Curtis International product, a company which makes products with many logos. They had the product information, which confirmed that this unit requires a grounded 110/120V outlet, NOT 160V. Also this allowed for cabinets to be designed with the proper unit measurements. So Walmart should include the proper information AND provide a link or note referring to Curtis International, not Igloo, so that others do not have to wonder why they are buying an Igloo product that Igloo does not make or know about!",2011-12-20T12:18:00,Walmart Needs to Update Info,195,42,chriscamm
18,15162474,"Igloo 3.2 cu. ft. 2-Door Refrigerator and Freezer, Stainless Steel",5,"I've had many mini-fridges (school, dorm, home-office, office, garage#.. and so far this little 2-door, 3.2 cu ft. Igloo mini-fridge is the BEST. Oddly enough, it is also the least expensive #?!# of them all. It's sturdier, more attractive, quieter, smoother, more powerful and just BETTER than every other brand I've had.. no kidding. I've never had a quieter-running mini-fridge.

Example: This is replacing a 2-year-old Emerson 3.2 2-door compact fridge I had in my office-- the sides remained warm/hot-ish at all times, it stopped and started/ sputtered on a regular basis, the frozen items would thaw-out randomly, door seals weren't adequate and the doors were faux stainless steel.. #small dents appeared when barely touched# and it cost 3 X what this one did. I had a decent little Haier which was similar but much louder, cost about $75 more and faux stainless steel. A GE that wasn't bad but again, cost more, was louder and faux stainless steel.

Having the dedicated large freezer compartment in this compact 2-door fridge is ideal. Great for frozen entrees, ice cream bars, quick-chilling beverages, making ice, etc. Great for vitamins, beauty & health creams & lotions, perfect for indoor/ outdoor patios, guest rooms, offices and dorms. It holds quite a lot.

The main fridge-compartment is substantial and the adjustable shelving is a real help.

I'm really impressed that the doors are genuine stainless steel #other similar mini-fridges use an imitation, silvery-coloured surface that dings and dents to no end#. This is metal = strong and beautiful.

I bought wire shelving units to house office electronics and office ""mini-kitchen"" #allows for air circulation and keeps everything dust-free#. An amazing space-saver.. highly recommend!

Very pleased with the Igloo fridge.. so much so, I'm ordering a second one. Thrilled with the price and all-but-free shipping #something like $2.75 for FedEx ground.. you can't beat that#- received in a couple of days.

I bought the 2-year care-pack #Walmart.com care pack# which was under $20. Complete coverage #including damage from power surges, which is never covered by a manufacturer's warranty#. Loving this little Igloo.. you will too!",2014-01-02T15:05:37,Ticks all of the boxes !,143,25,DayTwo
19,15162474,"Igloo 3.2 cu. ft. 2-Door Refrigerator and Freezer, Stainless Steel",5,"I was not expecting alot just a simple little fridg. to keep drinks cold and milk for my coffee. Checked a few vendors read reviews and so on. Was going to go with a higher price unit based on reviews and other people saying you get what you pay for. Then after seeing the cost of some other units decided to save some money after all this was a unit for office not home. Had the unit shipped, it was free so why carry it. It arrived before estm. time with no damage, set it up as manufacture instructed and let it sit 24 hours at temp. setting. Well turned it up the next day and all has been running fine. Small foot note the freezzer section will keep ICE CREAM frozen like a larger unit. For the price this unit is a clear winner, it looks and works like a larger unit in all respect, you put something in the frezzer section it is frozen period. Bottom section keeps drinks cold and milk cheese fresh you name it. Planty of room in top and bottom, only complant. is can dispenser on door is a waste for me never buy cans so would be better used space for other items.",2012-07-05T00:41:59,Was I surprised...,77,18,RonG1952
20,15162473,Igloo 3.2 cu. ft. 2-Door Refrigerator and Freezer,5,"Hi. I read various mini-fridge reviews (including Consumer Reports), and chose the Igloo 3.2 because of price, convenience (I could pick it up at our local Walmart with free shipping), and customer reviews said it got COLD. Also, there didn't seem to be many ""broken, dented, or dead after two weeks"" reviews, which is a big plus for durability/reliability. It's a hassle having to return a 70-pound item for exchange, and I definitely didn't want to be bothered, so that's important!

I ordered it online on 8/3 (Friday night at 9pm) and it was ready to be picked up at our local Walmart on 8/10 (the next Friday), even though the delivery window was up to 8/16. That's FAST delivery for a heavy object. I strongly recommend picking it up personally at the store, where it comes from the Walmart warehouse standing upright (the Freon needs to settle to the bottom if you still have to tilt it to get it home. I had to put it on the side to fit my 4Runner SUV, but left it in the box upright overnight and it ran fine. Home delivery is by third parties, and a lot of damage seems to occur in the process, which is why I don't recommend it.

The Igloo 3.2 is very well designed, and holds a LOT of stuff. The separate freezer compartment is relatively large and efficient. Aside from minor fingerprints showing on the black exterior, which are easily wiped off, the white interior is easy to clean.

DETAILS AND OBSERVATIONS... TEMPERATURE: Internet research recommends 40 degrees food section, about 28 degrees freezer. I checked multiple times with a digital thermometer and my Dad's good old 50 year old mechanical thermometer. End result: I suggest putting the thermostat (there's only one) at 5 to 5.5, which gives the food section about 38-40 degrees (perfect). However, the first time I checked the freezer, I had to look twice in amazement. Zero degrees. That's Farenheit NOT CENTIGRADE. Water freezes at 32 degrees F. so we are talking SUB-ZERO. That's cold, which is very important if the power goes off. It will keep the whole fridge cold for a long time.

POWER CONSUMPTION: I have a very useful ""Kill-A-Watt"" power meter ($30) which I can plug anything into to see what the gadgets draw and what they cost. The ""Energy Guide"" says ""$22 estimated yearly operating cost."" Wrong. Here are the figures: after 335 hours continuous use, 75 watts/1.43 amps/170va (great for a mini-generator during a storm, plus it will stay cold a long time without power), .44pf, COST@$0.110kwh: 20 cents a day, $1.45/week, $6.25/month, $76.12/year.

OTHER USEFUL INFO: There is an ""ON-OFF"" switch next to the light on the thermostat. There is NO EXPLANATION anywhere that I can find for what it does. However, if you look at the circuit diagram on the back of the fridge, it appears to manually control a heating element which conceivably helps defrost the freezer. I really haven't seen much of a frost problem so far after 3 weeks, which says a lot for the door seals not letting moisture in. I suggest leaving the switch OFF unless you want to experiment. Frost only appears (so far) at the back of the food and freezer compartments. The compressor piping protrudes about an inch from the back, and the compressor gets HOT, so you will want to leave a few inches behind the fridge for clearance and ventilation. Finally, there appears to be an indentation at the back of the food compartment to catch melting ice water, which is plugged up. If it were open, the water would theoretically drain into a hot pan on top of the compressor and evaporate, but I don't know if the factory decided against it for electrical safety reasons.

Summary: great refrigerator so far. I strongly recommend the additional WalMart 3-Year extended warranty for $25, so if/when it breaks or the compressor burns out in a few years...NEW REFRIGERATOR ! That's it for now, hope this helps. Stevie B.",2012-09-01T15:10:19,Super cold-Good quality-Great value,791,26,SteveOne
21,15162473,Igloo 3.2 cu. ft. 2-Door Refrigerator and Freezer,5,"I bought this fridge to go in my tackroom at the stables where I keep my horse. The best thing about this unit is the size of the freezer, larger enough to hold a 7lb bag of ice. The doors are reversible and when the unit's thermostat is set between 6 and 7 everything stays nice and cold in the fridge and frozen in the freezer.",2011-04-20T14:14:33,Great Fridge,571,61,ibpoorgirl
22,15162473,Igloo 3.2 cu. ft. 2-Door Refrigerator and Freezer,5,was a lil upset that delivery was late but was happy with product...think others that have issues need to remember to let it sit upright for at least 12 hrs before plugging in...just a fyi...24 hrs best but 12 works!,2011-04-22T19:46:00,good value,297,30,southernsnow
23,15162473,Igloo 3.2 cu. ft. 2-Door Refrigerator and Freezer,5,The product does everything I need the cooling unit works great and it was easy to handle and move once I received it I would recommend it to anyone who needs a small fridge.,2011-03-20T18:24:06,I am very happy with product,161,11,dgvikes
24,15162473,Igloo 3.2 cu. ft. 2-Door Refrigerator and Freezer,5,"I purchased this fridge/freezer to replace a similar Haier model that failed after only one month. I almost replaced the Haier with a Black and Decker, but they are the same unit with different branding. This Igloo model is made by a different manufacturer*, so I am hoping for better quality. So far, it is much quieter and seems to be better quality. The door on the Igloo is not reversible, but I can deal with that. The freezer section is also smaller but it will still fit a nice stack of Hungryman dinners nicely. I don't think the description says it has a light, but it does. I have attached some pictures of the unit I received. Also, it doesn't look identical to the one for sale online (mine has an Igloo logo on it). So far, I am really liking this unit. If it craps out on me, I will be sure to update this review.

*One of the things I used to determine it was made by a different manufacturer was the Energy Guide. The Black and Decker and Haier had identical energy guides. The Igloo was much different with regard to energy use specifications. When I actually received the unit, I noticed the compressor is very different from the Haier. It is definitely a different model and is probably made by a different manufacturer.",2012-10-23T10:42:46,Replaced A Haier With This Fridge,183,30,frescapop
25,15162427,"Igloo 3.2 cu. ft. Refrigerator and Freezer, Platinum",5,"The refrigerator works very well and seems to be a good quality item. It is very quiet, you will barely notice when it is running. Food and drinks are kept cool very easily. The freezer section is not huge, but it will hold a normal ice cube tray or approx 2-3 frozen dinners. The freezer is cold enough to make ice cubes and keep frozen items frozen. I cannot speak to its durability, yet, as I only just purchased the fridge 2 weeks ago. But, from how it has performed so far, I expect it to hold up over the years. The fridge is about 32-33 inches tall, including the feet, so factor that in when you are considering your purchase. This item is perfect for an office, dorm or anywhere you need a small refrigerator.",2011-05-28T07:29:44,"So far, so good",173,24,Dewman67
26,15162427,"Igloo 3.2 cu. ft. Refrigerator and Freezer, Platinum",4,"Great product at a tremendous price. However, the only negative is shelf sturdiness. I purchased this fridge to hold cans and water bottles. The shelves need center re-inforcement to hold the weight of the cans/water bottles steady; otherwise the shelves bow slightly in the center causing cans to fall if you're not careful. A piece of plexiglass can be a fix. Otherwise an overall great product. Recommended buy!",2011-04-25T07:54:47,Great Value,72,13,TheBigDig
27,15162427,"Igloo 3.2 cu. ft. Refrigerator and Freezer, Platinum",5,"THE CORRECT DIMENSIONS OF THIS REFRIGERATOR ARE:
18.5 WIDTH, 17.25 DEPTH, 32.25 HEIGHT

I AM SO THANKFUL FOR THE REVIEWER THAT GAVE THE WARNING. I AM HAVING MY CUBBY BUILT TO MATCH THESE CORRECT DIMENSIONS.",2011-03-29T14:56:09,CORRECT DIMENSIONS,62,9,BandHero
28,15162427,"Igloo 3.2 cu. ft. Refrigerator and Freezer, Platinum",5,"This mini-fridge is exactly what I was looking for at exactly the right price. The only reason I didn't give it a solid 5-star rating is because I thought it came with a clear bottom drawer and it did not. This could be because I looked at so many options before I decided to buy this one, or because I saw a drawer in this product's pictures and it isn't actually included. Either way, that was my only upset. The thing was ready to go straight out of the box; it chilled an entire fridge of beverages in under 4 hours after I plugged it in :) This is a great product at a great price! I'd recommend it to anyone looking for a little extra fridge space at a great price!",2011-04-29T13:14:14,Perfect For my Needs,58,11,Boomer2186
29,15162427,"Igloo 3.2 cu. ft. Refrigerator and Freezer, Platinum",4,"This is not 29.25 inches tall like the specifications say. It's more like 32 inches and won't fit in my 31.5 inch cubby, which can't be altered as it has a granite top. Guess I'll be returning it.",2011-02-17T19:36:13,Be Careful!,65,18,CJoK
30,15162469,"Igloo 3.2 cu. ft. Refrigerator and Freezer, Multiple Colors",5,"We got this fridge shipped to us, and it came looking in perfect condition. We are using it as an additional fridge for our basement, and soon after plugging it in it got cold. It has a clean sleek look to it and so far has been doing a good job at keeping its contents cold. It does not make much noise (which was a problem I had with my last fridge this size). Over all its a good fridge, and exceptional value for its price! great job Walmart.",2011-02-13T08:22:42,Great Fridge - Amazing Value,251,48,BobD1
31,15162469,"Igloo 3.2 cu. ft. Refrigerator and Freezer, Multiple Colors",3,"The product was attractive, keeps soda, beer, etc. cold in the lower compartments.

However,when turned on the highest setting, the freezer portion will freeze water, but won't keep a small container of ice cream frozen.

In addition, there is usually a mail-in type registration/warranty card packaged with items such as this refrigator. There was no susch registration card packaged with this device.",2011-03-02T23:00:54,Essential Product For Garage,108,18,Henry6th
32,15162469,"Igloo 3.2 cu. ft. Refrigerator and Freezer, Multiple Colors",5,"Just got my refrigerator. Just like many other there is a ding at the corner about halfway from the top. Nothing big enough to send back. However they need more styrofoam around this item.
However, it has glass shelves and those are unbroken and brand new.
They're taped in place and have a piece of foam on their edges to ensure they don't move.
The shelves are awesome. To take them out you need to tilt them forward slightly because they loosely lock in place on the back edge. Also, there are several shelve slots so you can easily adjust the shelves to accomodate your changing needs and foods that you're putting in there.
The interior size will accept a regular sized platter with food on it.
The door accepts a two litre bottle of Diet Coke (nectar of the gods). because the wire holder for it flaps down, I can insert the two litre bottle with one hand. Very convenient.
It is a TALL unit. I have a regular folding table next to it and the top of the refrigerator is at the same height as the table.
It would be an awesome, home office/college/small office refrigerator. I have mine about six feet from where I program in my home office. Completely quiet. Its great to have veggies in arms reach so I can ""munch"" on them instead of the convenient snacks that we all have sitting around our computers.
The annual energy cost (assuming however they rate these things) is only $35 annually.
I think the price is well worth the product.",2013-12-15T19:46:26,Excellent refrigerator. Very cold at level 7(of 9),39,3,Linux4T
33,15162469,"Igloo 3.2 cu. ft. Refrigerator and Freezer, Multiple Colors",4,Replaces an older mini fridge that I had which was old and loud. I hear it kicking on every once in a while but its very manageable. I noticed the shelves shown in the walmart image appear to be different then what I received but overall it's not a big deal. What more can I say? I would recommend it for the price I don't think you can beat it. I had mine shipped to store to minimize any shipping damage that may of happened.,2011-04-05T12:47:08,Great Value!,75,24,Chaderz
34,15162469,"Igloo 3.2 cu. ft. Refrigerator and Freezer, Multiple Colors",3,"The Igloo product is a well constructed item and the price is competitive. Ordering online gave me 2 different Igloo fridges, each with multiple damages. Good product, but buy in store. A little money is not worth the grief.",2014-06-25T21:59:49,"Igloo's packaging ""rains"" on another parade!",29,0,Yuntuu
35,20970370,"Igloo Eraser Board Refrigerator, 3.2 cu ft",4,"Its makes some noise but isn't totally distracting. Came with two dry erase markers to write on the fridge and has a small ice tray and freezer drip pan inside. On the inside, there is no slide in and out drawer, just two shelves and the freezer space. Below the bottom shelf there is a shortened space where you would figure a little pull out drawer would go but instead there is simply a metal rod to stop items from coming out of that area. The door has a soda rack, a medium size drink holder space for milk or something and two small built in shelves that can fit more items the size of soda cans and smaller. If it helps at all on floor space planning, it measures about 18 x 18 inches.",2013-08-14T16:53:38,Fridge works great and is good on space.,165,21,xenatcor3
36,20970370,"Igloo Eraser Board Refrigerator, 3.2 cu ft",5,"I purchased this mini fridge for work and it is exceeding all of my expectations.
The freezer is big enough to hold a frozen lunch. The fridge itself can hold so much goodness!

You can even adjust the shelf. I raised mine up to fit in a water bottle and the occasional bottle of lemonade.

It did take a little bit longer than the suggested 24 hours it to cool down once you plug it in. I keep it on a 3 since I like my things to be super cold.",2013-08-23T13:38:28,Mini Fridge Heaven,97,14,morningglory97
37,20970370,"Igloo Eraser Board Refrigerator, 3.2 cu ft",5,"Love, this fridge! My granddaughter wanted it for her bedroom, it makes a great nightstand and eraser board is great for writing what she needs to take to school the next day.",2012-10-27T13:44:18,Great size for bedrooms.,62,11,otissmores
38,20970370,"Igloo Eraser Board Refrigerator, 3.2 cu ft",1,"I purchased this product for my daughter to take to college. Purchased it in August, she moved into her dorm in September. We stored the fridge in the box in an upright position for 24 hours in her dorm room before plugging it in. It worked fine for about 45 days, then just quit. We tried troubleshooting tips, and called customer service to see if they had any ideas. Tried all of their suggestions, to no avail. Unit is still under warranty, so I asked about warranty service. In order to receive warranty service, I have to ship the unit to their warehouse in Vernon Hill, IL at my own expense, plus pay them $7.00 to insure the unit during shipping. They will ship it back at their expense. Since I did not retain the original packaging, I also have to pay UPS to package the unit for shipping. It will probably be cheaper to just buy a new one at this point.",2014-01-24T07:19:43,"Poor quality, poor warranty service",73,20,Sigh1961
39,20970370,"Igloo Eraser Board Refrigerator, 3.2 cu ft",5,"I bought this for my son, a long haul trucker. I also bought a small microwave that sits on top of it. The pair fits perfectly into the 18"" cubby hole in his truck. I was a little surprised at how much room is inside considering it's compact size. This has easily paid for itself with the savings of grocery store vs. restaurant. The door is reversable and was very easy to change to the other side.",2012-09-30T06:33:57,Perfecl little size,84,30,Irram
40,15162472,Igloo 3.2 cu. ft. 2-Door Refrigerator and Freezer,5,"I've had it about two weeks now, and it works just great. I have all my frozen meals in the top part. It can actually hold two bags of ice. That's a lot of space. Below, I can fit a size pack of soda in the door and a half gallon of milk and another of OJ. The drawer is small, but I'm able to fit a bag of salad, a bunch of grapes and several apples. I got a small tupperware container that I keep our lunch meats and cheese in, and put that on the middle shelf along with pickles, olives, any fresh foods like steak or chicken and any veggies that we are going to cook. On the top shelf I have containers like sour cream, cottage cheese, yogurt, juice boxes, eggs, leftovers pizza, etc,. It's really roomier and deeper than the usual mini fridge. For a family, it's way too small, but I'm using this little fridge for me and my 6 year old, and I'm able to keep about 3 to 4 days worth of fresh foods in the freezer, about 2 frozen pizzas, an ice tray, ice cream, and 10 or so Lean Cuisines.",2014-02-11T20:01:31,Great little fridge,132,7,onederland
41,15162472,Igloo 3.2 cu. ft. 2-Door Refrigerator and Freezer,5,"I followed the instructions: let it stand upright for 24 hrs before plugging; then set to #4 for another 24 hrs. This fridge is perfect for a dorm room or an efficiency. It keeps everything nice and cold, unlike the last little fridge I got which couldn't hold milk for more than a day.
Highly recommend this product.",2011-05-25T10:23:06,Keeps everything cold!,174,18,levee65
42,15162472,Igloo 3.2 cu. ft. 2-Door Refrigerator and Freezer,4,"I bought this for my fiance that is a truck driver and he loves it. Has more room then his previous refrigerator and does not take up that much more room then the other. Had trouble because we had to swing the doors from left to right and some of the screws were hard to take out, but did get it done. Love it!!!!!",2011-04-05T13:25:06,Over the road refrigerator,111,19,teeniebeanie
43,15162472,Igloo 3.2 cu. ft. 2-Door Refrigerator and Freezer,4,"My mother lives in assisted living in a small town and needed a new compact fridge with a good freezer, as she loves her ice cream. This appeared to be a good choice, given the features, price, and free shipping. A 2-door model seemed to be the best option for a good, effective freezer.
The Igloo arrived a week ahead of the estimated date. It's been in place for a week now. Both the freezer and fridge are quite roomy for a compact. The freezer will keep ice cream hard as a rock if desired.
My only disappointment is a large dent/crease at the rear left corner of the fridge. The shipping box was in perfect shape, so it was obviously damaged before it went into the box.
Since it appears to be working fine and doing its job, and given its weight (about 70 lbs) and the distance I'd need to haul it to return it, then wait for another one, we've decided to put up with the dent and hope it has no negative effect on the functioning & lifespan of the fridge.
All in all, I'd call it an excellent fridge and an excellent value. We are just disappointed that WalMart would ship an obviously damaged item.",2013-09-18T10:03:14,Apprears to be an excellent value for the price,88,17,PB1951
